Question,Answer
アレルギーがあるのですが、対応してもらえますか？,"事前にご相談いただけましたら、特定のアレルギー食材を抜いたメニューをご用意させていただきます。
また、メニューにはアレルギー食材表示をしておりますが、すべてのアレルギー食材が網羅されているわけではございませんので、ご心配な方はご相談くださいませ。"
お食事券やジェフグルメカードは使えますか？,"当店は、全国共通お食事券「ジェフグルメカード」の加盟店となっております。
他にもJTBレストランお食事券（ナイスグルメ）、ホットペッパーお食事券、ぐるなびギフトカードもご利用いただけます。
ご利用のお客様は、お会計の際にお申し付けくださいませ。
"
支払いにクレジットカードは利用できますか？,"VISA、MasterCard、JCB、NICOS、AMEX、Dinersなど、ほとんどのカードがご利用いただけますが、中にはご利用いただけないカードがございます。ご不安な場合は事前に利用可能かどうかお問い合わせくださいませ。
"
お持ち帰りはできますか？,"はい、事前にお電話でご注文していただければ、お待たせせずにお時間にあわせてお持ち帰りいただけます。
もちろん、ご来店されてからご注文いただいても大丈夫ですが、混み合っているときなどは少々お時間をいただくこともございます。 お食事されてからのお帰りの際でもお持ち帰りのご注文は可能ですが、お待たせしないよう、お帰りの少し前にご注文いただけるとよろしいかと思います。
汁物以外のお料理は基本的にすべてお持ち帰りできますので、お気軽にお声掛けくださいませ。
"
予算はどれくらいですか？,"ご注文にもよりますが、お一人様だいたい0,000円～0,000円くらいのお客様が多いかと思います。
当店ではお酒は一杯000円から、お料理は000円からとできるだけリーズナブルにご提供させていただいております。
宴会コースも飲み放題付き0,000円からご用意しておりますので、お客様のプランに合わせてご用命くださいませ。"
宴会コースは何名からできますか？,"ご宴会は○名様から承っております。なお、宴会場の関係から最大00名様までとさせていただいております。
当店の別館○○○○ですと最大000名様まで可能でございますので、職場のご宴会など大人数様でのご利用でしたら、こちらもおすすめです。
ご予約は当店も別館○○○○も同じお電話にて承ります。
電話　00-0000-0000
までお気軽にご連絡くださいませ。
"
一人でも入れますか？,"もちろんです！カウンター席がございますし、混雑していない時は個室をご利用いただくことも可能です。
お仕事帰りの「ちょっと一杯コース」もご用意しておりますので、お気軽にふらっとお立ち寄りいただけましたらと思います。"
貸切はできますか？,"事前のご予約が必要ですが、貸切でのご利用も可能です。
大人数の歓送迎会や結婚式の二次会など、様々なシーンでご利用いただいております。
イベントの種類によって特別メニューをご用意することもできますので、どうぞお気軽にご相談くださいませ。
なお、貸し切りのご予約はできるだけ一週間前までにご連絡いただけますと幸いです。
"
個室やお座敷はありますか？,"○～○名様がご利用可能なテーブル個室が00席、○名様までご利用可能なテーブル個室が00席、さらに最大00名様までご利用可能なお座敷席がございます。
ご予約・ご来店の際にご希望をお伝えいただけますと、できるだけご希望に叶ったお席へご案内差し上げますので、お気軽にご用命ください。"
飲み放題はできますか？,"当店では飲み放題メニューをご用意しております。乾杯より○時間（00分オーダーストップ）で0,000円のコースと0,000円のコースがございます。
0,000円のコースですと生ビールや日本酒も飲み放題となります。
詳しくはメニューのページもご覧ください。
ご希望のお客様は、ご予約またはご来店の際にお気軽にスタッフまでお尋ねくださいませ。"
英語のメニューはありますか？,"はい。英語のメニューと○○語のメニューをご用意しております。
予約時にお申し付けくださいましたら、当日ご提供のメニュー説明を英語・○○語に翻訳したものをご用意させていただくことも可能です。
また、宗教上お召し上がることのできない食材などを勘案したメニュー変更などのご相談も承りますので、お気軽にご相談くださいませ。"
サービス料はかかりますか？,"当店では、ご飲食代金の00％をサービス料として頂戴いたしております。
なお、ご昼食につきましてはサービス料を頂戴いたしておりません。"
室料はかかりますか？,"当店では個室をご利用のお客様から個室料を頂戴しております。
お部屋の大きさによって、1部屋0,000円～0,000円を頂戴いたします。
なお、ご昼食につきましては室料を頂戴いたしておりません。"
接待に利用できますか？,"当店では、本格的なお料理をカジュアルな雰囲気でご提供することをモットーとさせていただいております。いわゆる高級店のようなサービスはいたしかねますので、接待でのご利用は基本的にはおすすめしておりません。
もちろん、当店の雰囲気を気に入っていただけた上でのご接待のご利用は大歓迎でございます。
よりくだけたご関係でのお仕事上のお食事会なども心を込めておもてなしさせていただきます。お客様のご利用を心よりお待ちいたしております。"
商談に利用できますか？,"ご商談でご利用のお客様には、個室（定員00名様）のご用意もございます。
お食事の前に打ち合わせをされることも可能ですので、ご来店のお時間とお食事のお時間をご指定くださいませ。"
予約のキャンセルはできますか？,"ご予約のキャンセルにつきましては、ご予約日の前日までにご連絡をいただけますと助かります。
何卒よろしくお願いいたします。"
席だけの予約はできますか？,"はい。お席だけのご予約も承っております。
なお、団体様のご利用の場合はお料理をスムーズにお出しするためにも、コース料理やある程度のメニューをあらかじめご予約いただくことをおすすめいたします。
コースの詳細やお料理につきましてはホームページのメニューページもご参考にしてください。"
予約なしでも大丈夫ですか？,"もちろん、ご予約なしでいらしていただいても大丈夫ですが、大人数様のご来店の際やウィークエンドはご予約いただく方がご安心かと思います。
ご予約は
電話　00-0000-0000
にて承っておりますので、お気軽にご連絡くださいませ。"
予約受付は何時から何時までですか？,"ご予約のお電話は、基本的にはレストランの営業期間内にお伺いさせていただいております。コチラまでお電話ください。
電話　00-0000-0000
また、ホームページからでもご予約いただけます。こちらは24時間受付をいたしておりますが、閉店時間後のご予約の場合、お返事が翌日となってしまう事もございます。あらかじめご了承ください。"
タクシーや代行の手配はしてもらえますか？,"もちろんです。タクシーや代行の手配を承りますので、お帰りの少し前にお声掛けくださいませ。
また、事前にご相談いただけましたらマイクロバスのチャーターも承ります。駅や会社からの送迎なども可能ですので、お気軽にご相談くださいませ。"
定休日はいつですか？,"恐れ入りますが、当店では毎週○曜日を定休日とさせていただいております。
祝日は営業しておりますが、○曜日と祝日が重なっている日はお休みとさせていただいておりますので、おらかじめご了承くださいませ。"
何時から何時までの営業ですか？,"平日は00:00～00:00、土日祝は00:00～00:00まで営業しております。曜日によって営業時間が異なりますのでご注意ください。
なお、ラストオーダーは閉店時間の00分前となります。
大変申し訳ございませんが、ラストオーダーのお時間を過ぎてのご来店はお断りさせていただく場合もございますので、あらかじめご了承くださいませ。"
駐車場のサービスはありますか？,"○○ビルの立体駐車場をご利用いただけます。0,000円以上のご飲食で○時間まで無料、0,000円以上のご飲食で○時間まで無料とさせていただいております。
なお、アルコールを飲まれての運転は絶対にお止めください。代行サービスの手配も承っておりますので、ご用命の際はご相談くださいませ。"
最寄り駅はどこですか？,"○○線「○○」駅から徒歩○○分、○○線「○○」駅から徒歩○○分のところに当店はございます。なお、○○線は各駅停車しか停まりませんのでご注意くださいませ。
ちなみに○○駅の方がより近いですし、道もわかりやすくなっております。
駅から店舗までのアクセスにつきましては、ホームページ内の地図をご覧ください。駅にお着きの際にお電話をいただけましたら、駅からの詳しい道順をご案内させていただくこともできます。"
お店の場所がよくわからないのですが？,"当店の住所は
○○県○○市○○町0-0-0となっております。
最寄り駅は○○駅となります。駅から当店までは徒歩で○○分くらいです。
駅から当店までの詳しい道順はアクセスのページでご紹介しておりますので、こちらもご覧くださいませ。
また、駅にお着きの際にお電話をいただけましたら、駅からの詳しい道順をご案内させていただくこともできます。
電話　00-0000-0000までお気軽にお電話ください。
お車でお越しの際は、○○街道を○○方面へお進みいただき、○○交差点を過ぎてすぐ左手のガソリンスタンドの裏側が当店でございます。ガソリンスタンドの右脇から奥にお進みいただけます。"
